r1,r2,fhd
4,59,0.4725
4,60,0.5
4,61,0.5025
4,62,0.52
4,63,0.5375
4,64,0.53
4,65,0.48
4,66,0.5125
4,67,0.5225
4,68,0.49
4,69,0.4475
4,70,0.455
4,71,0.55
4,72,0.4775
4,73,0.48
4,74,0.5475
4,75,0.52
4,76,0.5
4,77,0.5
4,78,0.5175
5,0,0.5725
5,1,0.4575
5,2,0.52
5,3,0.5025
5,4,0.5125
5,5,0.0
5,6,0.525
5,7,0.515
5,8,0.4875
5,9,0.5025
5,10,0.5125
5,11,0.4475
5,12,0.4575
5,13,0.4925
5,14,0.4475
5,15,0.475
5,16,0.555
5,17,0.4625
5,18,0.485
5,19,0.5075
5,20,0.4725
5,21,0.4975
5,22,0.4975
5,23,0.4675
5,24,0.525
5,25,0.485
5,26,0.51
5,27,0.475
5,28,0.525
5,29,0.515
5,30,0.52
5,31,0.5425
5,32,0.5625
5,33,0.515
5,34,0.41
5,35,0.5225
5,36,0.4925
5,37,0.5
5,38,0.455
5,39,0.5025
5,40,0.565
5,41,0.4575
5,42,0.46
5,43,0.525
5,44,0.515
5,45,0.49
5,46,0.4675
5,47,0.5375
5,48,0.53
5,49,0.52
5,50,0.4975
5,51,0.46
5,52,0.5325
5,53,0.465
5,54,0.4775
5,55,0.44
5,56,0.5075
5,57,0.485
5,58,0.5425
5,59,0.495
5,60,0.4625
5,61,0.47
5,62,0.5325
5,63,0.49
5,64,0.5075
5,65,0.5075
5,66,0.495
5,67,0.515
5,68,0.4875
5,69,0.55
5,70,0.4975
5,71,0.4875
5,72,0.455
5,73,0.5775
5,74,0.52
5,75,0.4625
5,76,0.5225
5,77,0.5325
5,78,0.5
6,0,0.4925
6,1,0.5175
6,2,0.52
6,3,0.4375
6,4,0.5175
6,5,0.525
6,6,0.0
6,7,0.45
6,8,0.5125
6,9,0.5125
6,10,0.5075
6,11,0.5175
6,12,0.4875
6,13,0.5275
6,14,0.4825
6,15,0.475
6,16,0.47
6,17,0.4875
6,18,0.51
6,19,0.5125
6,20,0.4675
6,21,0.5075
6,22,0.4825
6,23,0.5125
6,24,0.465
6,25,0.545
6,26,0.5
6,27,0.565
6,28,0.54
6,29,0.5
6,30,0.545
6,31,0.4575
6,32,0.5675
6,33,0.55
6,34,0.48
6,35,0.4725
6,36,0.4825
6,37,0.52
6,38,0.505
6,39,0.5525
6,40,0.46
6,41,0.5125
6,42,0.475
6,43,0.54
6,44,0.515
6,45,0.545
6,46,0.5175
6,47,0.4675
6,48,0.48
6,49,0.5
6,50,0.5125
6,51,0.51
6,52,0.5225
6,53,0.48
6,54,0.5175
6,55,0.515
6,56,0.4825
6,57,0.51
6,58,0.5225
6,59,0.495
6,60,0.4875
6,61,0.495
6,62,0.4475
6,63,0.535
6,64,0.4925
6,65,0.4725
6,66,0.485
6,67,0.555
6,68,0.5625
6,69,0.43
6,70,0.4875
6,71,0.4825
6,72,0.5
6,73,0.4425
6,74,0.52
6,75,0.5325
6,76,0.5125
6,77,0.5025
6,78,0.48
7,0,0.4575
7,1,0.5175
7,2,0.475
7,3,0.5275
7,4,0.5125
7,5,0.515
7,6,0.45
7,7,0.0
7,8,0.4375
7,9,0.5175
7,10,0.5575
7,11,0.4875
7,12,0.5275
7,13,0.4775
7,14,0.4825
7,15,0.54
7,16,0.47
7,17,0.4525
7,18,0.58
7,19,0.4625
7,20,0.5075
7,21,0.5325
7,22,0.4825
7,23,0.4775
7,24,0.43
7,25,0.53
7,26,0.505
7,27,0.515
7,28,0.535
7,29,0.595
7,30,0.43
7,31,0.4875
7,32,0.4375
7,33,0.48
7,34,0.49
7,35,0.4875
7,36,0.5175
7,37,0.515
7,38,0.49
7,39,0.4825
7,40,0.505
7,41,0.4625
7,42,0.495
7,43,0.535
7,44,0.535
7,45,0.53
7,46,0.4725
7,47,0.5775
7,48,0.5
7,49,0.475
7,50,0.5525
7,51,0.49
7,52,0.4825
7,53,0.54
7,54,0.4525
7,55,0.495
7,56,0.5175
7,57,0.54
7,58,0.4675
7,59,0.515
7,60,0.5175
7,61,0.485
7,62,0.4925
7,63,0.565
7,64,0.5175
7,65,0.5025
7,66,0.47
7,67,0.555
7,68,0.4675
7,69,0.475
7,70,0.5375
7,71,0.4375
7,72,0.51
7,73,0.5225
7,74,0.485
7,75,0.4575
7,76,0.4875
7,77,0.4475
7,78,0.485
8,0,0.505
8,1,0.49
8,2,0.4625
8,3,0.55
8,4,0.54
8,5,0.4875
8,6,0.5125
8,7,0.4375
8,8,0.0
8,9,0.47
8,10,0.455
8,11,0.495
8,12,0.515
8,13,0.465
8,14,0.495
8,15,0.4975
8,16,0.5475
8,17,0.485
8,18,0.4825
8,19,0.5
8,20,0.515
8,21,0.505
8,22,0.53
8,23,0.5
8,24,0.5025
8,25,0.5425
8,26,0.5425
8,27,0.4975
8,28,0.5675
8,29,0.5425
8,30,0.4725
8,31,0.5
8,32,0.51
8,33,0.4825
8,34,0.4775
8,35,0.47
8,36,0.47
8,37,0.5125
8,38,0.4425
8,39,0.42
8,40,0.5075
8,41,0.49
8,42,0.4775
8,43,0.5675
8,44,0.5075
8,45,0.5175
8,46,0.44
8,47,0.455
8,48,0.5025
8,49,0.5125
8,50,0.48
8,51,0.5225
8,52,0.475
8,53,0.4625
8,54,0.525
8,55,0.5125
8,56,0.465
8,57,0.4425
8,58,0.43
8,59,0.4375
8,60,0.485
8,61,0.5175
8,62,0.44
8,63,0.5325
8,64,0.535
8,65,0.54
8,66,0.4875
8,67,0.4525
8,68,0.46
8,69,0.5275
8,70,0.48
8,71,0.51
8,72,0.5125
8,73,0.545
8,74,0.5325
8,75,0.56
8,76,0.48
8,77,0.565
8,78,0.4775
9,0,0.465
9,1,0.54
9,2,0.4775
9,3,0.5
9,4,0.52
9,5,0.5025
9,6,0.5125
9,7,0.5175
9,8,0.47
9,9,0.0
9,10,0.48
9,11,0.525
9,12,0.515
9,13,0.465
9,14,0.545
9,15,0.5325
9,16,0.4825
9,17,0.515
9,18,0.5025
9,19,0.465
9,20,0.565
9,21,0.445
9,22,0.515
9,23,0.445
9,24,0.5025
9,25,0.4975
9,26,0.4325
9,27,0.4725
9,28,0.4625
9,29,0.4925
9,30,0.4725
9,31,0.54
9,32,0.505
9,33,0.5725
9,34,0.5025
9,35,0.485
9,36,0.5
9,37,0.5075
9,38,0.5175
9,39,0.505
9,40,0.4625
9,41,0.495
9,42,0.5025
9,43,0.4625
9,44,0.5125
9,45,0.5025
9,46,0.535
9,47,0.485
9,48,0.5025
9,49,0.5175
9,50,0.42
9,51,0.5225
9,52,0.5
9,53,0.4625
9,54,0.545
9,55,0.4375
9,56,0.455
9,57,0.4875
9,58,0.52
9,59,0.5075
9,60,0.49
9,61,0.4625
9,62,0.53
9,63,0.5025
9,64,0.505
9,65,0.515
9,66,0.5525
9,67,0.4475
9,68,0.5
9,69,0.4875
9,70,0.47
9,71,0.44
9,72,0.4725
9,73,0.505
9,74,0.5175
9,75,0.5
9,76,0.5
9,77,0.495
9,78,0.5125
10,0,0.53
10,1,0.475
10,2,0.4675
10,3,0.5
10,4,0.49
10,5,0.5125
10,6,0.5075
10,7,0.5575
10,8,0.455
10,9,0.48
10,10,0.0
10,11,0.49
10,12,0.445
10,13,0.53
10,14,0.52
10,15,0.4525
10,16,0.5225
10,17,0.535
10,18,0.5025
10,19,0.545
10,20,0.515
10,21,0.475
10,22,0.515
10,23,0.525
10,24,0.5325
10,25,0.5125
10,26,0.4925
10,27,0.5275
10,28,0.5125
10,29,0.5225
10,30,0.5225
10,31,0.505
10,32,0.485
10,33,0.4925
10,34,0.4625
10,35,0.495
10,36,0.52
10,37,0.5175
10,38,0.5125
10,39,0.535
10,40,0.4975
10,41,0.535
10,42,0.4975
10,43,0.5125
10,44,0.4525
10,45,0.5325
10,46,0.485
10,47,0.48
10,48,0.4925
10,49,0.4975
10,50,0.475
10,51,0.5275
10,52,0.495
10,53,0.4925
10,54,0.535
10,55,0.5175
10,56,0.495
10,57,0.5225
10,58,0.52
10,59,0.4925
10,60,0.46
10,61,0.5275
10,62,0.47
10,63,0.4975
10,64,0.495
10,65,0.45
10,66,0.5125
10,67,0.5225
10,68,0.545
10,69,0.4775
10,70,0.505
10,71,0.53
10,72,0.5225
10,73,0.415
10,74,0.4575
10,75,0.5
10,76,0.515
10,77,0.465
10,78,0.4925
11,0,0.54
11,1,0.5
11,2,0.4975
11,3,0.505
11,4,0.53
11,5,0.4475
11,6,0.5175
11,7,0.4875
11,8,0.495
11,9,0.525
11,10,0.49
11,11,0.0
11,12,0.44
11,13,0.44
11,14,0.48
11,15,0.5025
11,16,0.5075
11,17,0.48
11,18,0.5175
11,19,0.525
11,20,0.485
11,21,0.54
11,22,0.475
11,23,0.525
11,24,0.4875
11,25,0.4775
11,26,0.5375
11,27,0.4825
11,28,0.5025
11,29,0.5275
11,30,0.4925
11,31,0.495
11,32,0.46
11,33,0.4975
11,34,0.5025
11,35,0.495
11,36,0.48
11,37,0.5425
11,38,0.4375
11,39,0.515
11,40,0.4825
11,41,0.475
11,42,0.5075
11,43,0.5025
11,44,0.4675
11,45,0.5025
11,46,0.54
11,47,0.515
11,48,0.4775
11,49,0.4875
11,50,0.485
11,51,0.5425
11,52,0.45
11,53,0.5175
11,54,0.505
11,55,0.4875
11,56,0.45
11,57,0.5025
11,58,0.485
11,59,0.5125
11,60,0.5
11,61,0.4825
11,62,0.515
11,63,0.4625
11,64,0.49
11,65,0.495
11,66,0.5325
11,67,0.5075
11,68,0.495
11,69,0.5075
11,70,0.495
11,71,0.55
11,72,0.5075
11,73,0.54
11,74,0.5075
11,75,0.48
11,76,0.48
11,77,0.495
11,78,0.4875
12,0,0.47
12,1,0.49
12,2,0.4675
12,3,0.48
12,4,0.535
12,5,0.4575
12,6,0.4875
12,7,0.5275
12,8,0.515
12,9,0.515
12,10,0.445
12,11,0.44
12,12,0.0
12,13,0.51
12,14,0.52
12,15,0.4775
12,16,0.5475
12,17,0.455
12,18,0.5225
12,19,0.575
12,20,0.515
12,21,0.49
12,22,0.505
12,23,0.5
12,24,0.4875
12,25,0.5075
12,26,0.4825
